model,outer_fold,context_id,connectivity_id,output,pathway,shapley_value,pathway_value,pathway_value_semantics,baseline_output,full_output,completeness_residual,pathway_value_percentile,pathway_value_color_semantics
joint model,3,context:26559375cf94c91a04ba6dc5,ONDSBJMLAHVLMI,conditional N,molecular formal charge,0.680411405034,0.641922056675,standardized signed scalar,5.35757652918,7.61969645818,0,0.384990253411,"within-pathway empirical percentile; color only, not a model output"
joint model,0,context:2673b2e6f4836612040b8d76,PSINDLUNOGABJV,conditional N,molecular formal charge,1.74106203185,0.671383142471,standardized signed scalar,2.78920571009,-0.443183898926,-8.881784197e-16,0.787037037037,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:26d333ffbc3818edd23dc525,PQGUROUGKBASIY,conditional N,molecular formal charge,-0.983183013068,0.664344012737,standardized signed scalar,10.2375917435,14.2519594828,0,0.651559454191,"within-pathway empirical percentile; color only, not a model output"
joint model,3,context:27709a8218cae0b06af021a4,AZQJMOSEBVCAFB,conditional N,molecular formal charge,-0.0149169762929,0.641922056675,standardized signed scalar,11.397942543,7.7271455129,8.881784197e-16,0.384990253411,"within-pathway empirical percentile; color only, not a model output"
joint model,4,context:27b053ef39c6db36c12fc10b,VDCSGNNYCFPWFK,conditional N,molecular formal charge,1.48865903748,0.683384299278,standardized signed scalar,0.36209710439,1.68076197306,0,0.926413255361,"within-pathway empirical percentile; color only, not a model output"
joint model,2,context:27be502f8f8eb586c54ced8c,VEKDDHYCIOYPHJ,conditional N,molecular formal charge,0.12297683292,0.659897267818,standardized signed scalar,8.41766468684,4.48041598002,8.881784197e-16,0.517543859649,"within-pathway empirical percentile; color only, not a model output"
joint model,0,context:288cc6beb66cb328095d548c,FUPIVZHYVSCYLX,conditional N,molecular formal charge,1.8261679146,0.671383142471,standardized signed scalar,5.25894196828,-0.707475980123,5.55111512313e-16,0.787037037037,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:28aee48fcc1d87b84eaf52e1,CKLJMWTZIZZHCS,conditional N,molecular formal charge,0.308814790514,-3.45709586143,standardized signed scalar,16.7796243032,13.8374150594,0,0.00438596491228,"within-pathway empirical percentile; color only, not a model output"
joint model,0,context:28c4c7e6ec32ffa11083abac,UTWQHEUIFBZBTR,conditional N,molecular formal charge,1.10873338911,0.671383142471,standardized signed scalar,7.43579403559,2.56765111287,1.33226762955e-15,0.787037037037,"within-pathway empirical percentile; color only, not a model output"
joint model,4,context:291acfb63dedd7ff4481b001,URBDFHBJUSYZIR,conditional N,molecular formal charge,1.09883259402,-1.35931360722,standardized signed scalar,8.77348089218,15.9703734716,1.7763568394e-15,0.289473684211,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:298d42e9c266a97c96310a00,BTJIUGUIPKRLHP,conditional N,molecular formal charge,0.1979856756,-1.39637601376,standardized signed scalar,16.9432652791,18.3143215179,0,0.176900584795,"within-pathway empirical percentile; color only, not a model output"
joint model,3,context:298de7c90e2b5d3ebda60b7b,DPZNOMCNRMUKPS,conditional N,molecular formal charge,0.609240637885,0.641922056675,standardized signed scalar,13.3497571945,2.45399697622,1.33226762955e-15,0.384990253411,"within-pathway empirical percentile; color only, not a model output"
joint model,4,context:29aee7eff81b55c913860d35,IVJPPXLWFDRDRE,conditional N,molecular formal charge,1.51064242257,-1.35931360722,standardized signed scalar,13.0487893422,7.1504201889,8.881784197e-16,0.289473684211,"within-pathway empirical percentile; color only, not a model output"
joint model,2,context:29ced4b0c513df1372b98c37,TZHIYVWDNYEFOA,conditional N,molecular formal charge,0.523691402541,-1.40662312508,standardized signed scalar,10.1221909523,17.1022148132,0,0.115497076023,"within-pathway empirical percentile; color only, not a model output"
joint model,0,context:29e5bbce5254d2dac1ffbd22,BHLKIZCNPYDMOY,conditional N,molecular formal charge,1.67042532232,0.671383142471,standardized signed scalar,1.38495413462,3.01926994324,0,0.787037037037,"within-pathway empirical percentile; color only, not a model output"
joint model,4,context:2a24eaa30d93662177b4bc12,CMLWFCUAXGSMBB,conditional N,molecular formal charge,-2.43585673968,0.683384299278,standardized signed scalar,21.2603734334,13.6693455378,0,0.926413255361,"within-pathway empirical percentile; color only, not a model output"
joint model,3,context:2a2dd4d4890b9dfb695cd858,WGYKZJWCGVVSQN,conditional N,molecular formal charge,-0.673155466715,0.641922056675,standardized signed scalar,15.2906901042,13.561724027,0,0.384990253411,"within-pathway empirical percentile; color only, not a model output"
joint model,0,context:2a71df212f4b05ff5d632060,OZTFXWYJHCTJDS,conditional N,molecular formal charge,-0.276111125946,-1.38442146778,standardized signed scalar,10.8646011353,20.0123564402,0,0.234892787524,"within-pathway empirical percentile; color only, not a model output"
joint model,3,context:2acf2a596cb7c974b99ea781,QJWQYVJVCXMTJP,conditional N,molecular formal charge,-1.32650147544,0.641922056675,standardized signed scalar,17.3278541565,14.537525177,0,0.384990253411,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:2b79bd08eb9e0df4cee1d714,JJPYHMCTZLBOEO,conditional N,molecular formal charge,-2.83392246564,0.664344012737,standardized signed scalar,17.3534828822,22.7979602814,0,0.651559454191,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:2b80cf137e6185ba9ecd7b83,KKJVNKHIPVHCQX,conditional N,molecular formal charge,0.128186782201,0.664344012737,standardized signed scalar,6.72256358465,8.15383402507,0,0.651559454191,"within-pathway empirical percentile; color only, not a model output"
joint model,3,context:2bb2d87993fd2f6b131da5a4,BINFMIKPPPUPAO,conditional N,molecular formal charge,-3.02819789781,0.641922056675,standardized signed scalar,13.0418977737,26.4601974487,0,0.384990253411,"within-pathway empirical percentile; color only, not a model output"
joint model,0,context:2bc2210e23222f2ca1056fea,AFFPCIMDERUIST,conditional N,molecular formal charge,0.741323192914,0.671383142471,standardized signed scalar,8.57590977351,5.24630212784,0,0.787037037037,"within-pathway empirical percentile; color only, not a model output"
joint model,0,context:2bcaae8f6c47902e047369e7,XKUKSGPZAADMRA,conditional N,molecular formal charge,-0.413557714886,-1.38442146778,standardized signed scalar,17.0086574554,12.7467199961,-1.7763568394e-15,0.234892787524,"within-pathway empirical percentile; color only, not a model output"
joint model,0,context:2bfa69960aef26811d418f7d,KKFHAJHLJHVUDM,conditional N,molecular formal charge,1.0855010483,0.671383142471,standardized signed scalar,6.27374219894,4.50685755412,-8.881784197e-16,0.787037037037,"within-pathway empirical percentile; color only, not a model output"
joint model,0,context:2c1a5d14a43c365e85d4804a,ZACFZWVWCJFOCW,conditional N,molecular formal charge,1.50626228915,0.671383142471,standardized signed scalar,1.42514832815,4.28319072723,0,0.787037037037,"within-pathway empirical percentile; color only, not a model output"
joint model,4,context:2c364065df30f1f0d57b3c45,UBMYYGXGMPGCBO,conditional N,molecular formal charge,-0.0337277518378,0.683384299278,standardized signed scalar,11.595433712,5.45990006129,0,0.926413255361,"within-pathway empirical percentile; color only, not a model output"
joint model,2,context:2c42ed243e7dd33ce08283de,ZBCBWPMODOFKDW,conditional N,molecular formal charge,-1.27880410353,0.659897267818,standardized signed scalar,12.3147279421,15.2381375631,-1.7763568394e-15,0.517543859649,"within-pathway empirical percentile; color only, not a model output"
joint model,4,context:2c7e3b33b386cff0291fffcf,NHQDETIJWKXCTC,conditional N,molecular formal charge,-0.671251800325,-1.35931360722,standardized signed scalar,16.9528992971,18.1332670848,0,0.289473684211,"within-pathway empirical percentile; color only, not a model output"
joint model,0,context:2c808b13daaa61e2f6d4753c,ZISUALSZTAEPJH,conditional N,molecular formal charge,1.72053053644,0.671383142471,standardized signed scalar,1.33928235372,3.01589775085,-8.881784197e-16,0.787037037037,"within-pathway empirical percentile; color only, not a model output"
joint model,0,context:2c8b623afe89567861089788,LJUQGASMPRMWIW,conditional N,molecular formal charge,-0.297714816199,0.671383142471,standardized signed scalar,15.3020833333,10.9542703629,0,0.787037037037,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:2cabe2dd19cc048d8fa2d37e,YLGRTLMDMVAFNI,conditional N,molecular formal charge,1.42329323292,0.664344012737,standardized signed scalar,4.12579806646,3.99392795563,0,0.651559454191,"within-pathway empirical percentile; color only, not a model output"
joint model,4,context:2d30b422fff296f981311fc8,ZCPWZUGSUPGMLC,conditional N,molecular formal charge,-4.00591754913,0.683384299278,standardized signed scalar,20.5198828379,21.4663016001,0,0.926413255361,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:2de6d8532d5c94a5c86a8659,FDPMPHQWCLVHND,conditional N,molecular formal charge,-0.947583622403,0.664344012737,standardized signed scalar,10.0395181974,13.6397829056,0,0.651559454191,"within-pathway empirical percentile; color only, not a model output"
joint model,0,context:2e3e48b834eb017dc1b5abf5,QTBSBXVTEAMEQO,conditional N,molecular formal charge,0.486234347026,-1.38442146778,standardized signed scalar,14.3262529373,16.977921168,0,0.234892787524,"within-pathway empirical percentile; color only, not a model output"
joint model,4,context:2e5d770353ceaf58fad6fa91,QLXMOFWIKWAQBW,conditional N,molecular formal charge,-2.2035990821,0.683384299278,standardized signed scalar,13.8258414268,18.7394841512,0,0.926413255361,"within-pathway empirical percentile; color only, not a model output"
joint model,4,context:2e785db4025d7ab418f31788,AWUJBJHPBXFVFC,conditional N,molecular formal charge,-1.89085732566,0.683384299278,standardized signed scalar,14.7043930689,17.8337872823,0,0.926413255361,"within-pathway empirical percentile; color only, not a model output"
joint model,2,context:2f0c0d845c48ac47fa56fd88,ZVNDTFFBORBYMW,conditional N,molecular formal charge,-1.97171576818,0.659897267818,standardized signed scalar,17.3548965454,14.9824946721,0,0.517543859649,"within-pathway empirical percentile; color only, not a model output"
joint model,3,context:2f31279786c48aca2b251ab3,FBQURXLBJJNDBX,conditional N,molecular formal charge,0.424515763919,0.641922056675,standardized signed scalar,13.0095307032,4.96036847432,-8.881784197e-16,0.384990253411,"within-pathway empirical percentile; color only, not a model output"
